season,name,balls_faced,boundary_count,boundary_percent
2013,KM Jadhav,127,13,10.24
2013,KV Sharma,89,8,8.99
2013,KW Richardson,36,3,8.33
2013,L Balaji,10,1,10.0
2013,LA Pomersbach,60,6,10.0
2013,LJ Wright,63,19,30.16
2013,LR Shukla,13,0,0.0
2013,LRPL Taylor,77,3,3.9
2013,M Kartik,3,0,0.0
2013,M Manhas,17,1,5.88
2013,M Morkel,30,9,30.0
2013,M Rawat,11,0,0.0
2013,M Vijay,293,35,11.95
2013,M Vohra,117,24,20.51
2013,MA Agarwal,64,9,14.06
2013,MC Henriques,127,23,18.11
2013,MC Juneja,134,12,8.96
2013,MDKJ Perera,13,3,23.08
2013,MEK Hussey,580,98,16.9
2013,MG Johnson,37,4,10.81
2013,MK Pandey,139,14,10.07
2013,MK Tiwary,142,13,9.15
2013,MM Sharma,5,0,0.0
2013,MN Samuels,18,1,5.56
2013,MR Marsh,109,16,14.68
2013,MS Bisla,248,42,16.94
2013,MS Dhoni,298,57,19.13
2013,MS Gony,27,7,25.93
2013,Mandeep Singh,228,36,15.79
2013,Mohammed Shami,10,0,0.0
2013,NLTC Perera,173,26,15.03
2013,NM Coulter-Nile,6,1,16.67
2013,NV Ojha,10,1,10.0
2013,OA Shah,24,2,8.33
2013,P Awana,9,0,0.0
2013,P Dogra,8,0,0.0
2013,P Kumar,41,6,14.63
2013,PA Patel,261,41,15.71
2013,PA Reddy,104,9,8.65
2013,PC Valthaty,17,0,0.0
2013,PJ Sangwan,2,1,50.0
2013,PP Chawla,60,8,13.33
2013,PP Ojha,4,0,0.0
2013,PV Tambe,6,0,0.0
2013,Parvez Rasool,9,0,0.0
2013,Q de Kock,16,1,6.25
2013,R Ashwin,50,4,8.0
2013,R Bhatia,81,11,13.58
2013,R Dhawan,21,3,14.29
2013,R Dravid,433,69,15.94
2013,R McLaren,6,0,0.0
2013,R Rampaul,39,4,10.26
2013,R Sathish,79,14,17.72
2013,R Sharma,17,1,5.88
2013,R Shukla,2,0,0.0
2013,R Vinay Kumar,44,9,20.45
2013,RA Jadeja,139,23,16.55
2013,RE van der Merwe,25,2,8.0
2013,RG Sharma,415,63,15.18
2013,RJ Harris,5,0,0.0
2013,RN ten Doeschate,63,11,17.46
2013,RT Ponting,76,4,5.26
2013,RV Gomez,1,1,100.0
2013,RV Uthappa,385,54,14.03
2013,S Anirudha,2,0,0.0
2013,S Badrinath,123,11,8.94
2013,S Dhawan,262,42,16.03
2013,S Kaul,9,0,0.0
2013,S Nadeem,27,1,3.7
2013,S Narwal,16,4,25.0
2013,S Sreesanth,4,0,0.0
2013,SE Marsh,256,43,16.8
2013,SK Raina,370,68,18.38
2013,SK Trivedi,7,0,0.0
2013,SL Malinga,19,1,5.26
2013,SMSM Senanayake,17,0,0.0
2013,SP Narine,20,2,10.0
2013,SPD Smith,134,19,14.18
2013,SR Tendulkar,243,44,18.11
2013,SR Watson,393,81,20.61
2013,SS Tiwary,113,8,7.08
2013,STR Binny,204,37,18.14
2013,SV Samson,179,24,13.41
2013,SW Tait,3,0,0.0
2013,Sachin Baby,7,0,0.0
2013,Sandeep Sharma,1,0,0.0
2013,TL Suman,58,8,13.79
2013,TM Dilshan,97,12,12.37
2013,UA Birla,15,1,6.67
2013,UBT Chand,163,21,12.88
2013,UT Yadav,39,4,10.26
2013,V Kohli,471,87,18.47
2013,V Sehwag,244,47,19.26
2013,WD Parnell,7,0,0.0
2013,WP Saha,57,10,17.54
2013,X Thalaivan Sargunam,17,0,0.0
2013,YK Pathan,247,45,18.22
2013,Yuvraj Singh,193,29,15.03
2014,A Mishra,7,0,0.0
2014,AB Dinda,13,0,0.0
2014,AB de Villiers,255,50,19.61
2014,AD Russell,8,0,0.0
2014,AJ Finch,268,40,14.93
2014,AM Nayar,50,6,12.0
2014,AM Rahane,298,41,13.76
2014,AN Ahmed,1,1,100.0
2014,AP Tare,102,19,18.63
2014,AR Patel,61,7,11.48
2014,AT Rayudu,296,39,13.18
2014,Ankit Sharma,31,5,16.13
2014,B Kumar,4,0,0.0
2014,BB McCullum,341,51,14.96
2014,BCJ Cutting,6,1,16.67
2014,BE Hendricks,1,0,0.0
2014,BJ Hodge,74,10,13.51
2014,BR Dunk,36,7,19.44
2014,CA Lynn,52,8,15.38
2014,CA Pujara,129,17,13.18
2014,CH Gayle,188,30,15.96
2014,CJ Anderson,186,36,19.35
2014,CM Gautam,116,18,15.52
2014,DA Miller,307,55,17.92
2014,DA Warner,386,63,16.32
2014,DH Yagnik,6,0,0.0
2014,DJ Bravo,3,1,33.33
2014,DJ Hussey,96,14,14.58
2014,DJG Sammy,97,12,12.37
2014,DR Smith,425,84,19.76
2014,DS Kulkarni,27,3,11.11
2014,DW Steyn,26,1,3.85
2014,F du Plessis,240,33,13.75
2014,G Gambhir,301,40,13.29
2014,GJ Bailey,190,29,15.26
2014,GJ Maxwell,312,84,26.92
2014,HV Patel,7,2,28.57
2014,Harbhajan Singh,26,4,15.38
2014,IK Pathan,58,5,8.62
2014,Imran Tahir,10,2,20.0
2014,JA Morkel,41,4,9.76
2014,JD Unadkat,6,0,0.0
2014,JDS Neesham,46,4,8.7
2014,JH Kallis,131,17,12.98
2014,JJ Bumrah,4,0,0.0
2014,JO Holder,12,3,25.0
2014,JP Duminy,311,42,13.5
2014,JP Faulkner,99,24,24.24
2014,KA Pollard,208,30,14.42
2014,KD Karthik,261,39,14.94
2014,KK Cooper,28,5,17.86
2014,KK Nair,237,47,19.83
2014,KL Rahul,166,15,9.04
2014,KM Jadhav,104,20,19.23
2014,KP Pietersen,239,41,17.15
2014,KV Sharma,30,4,13.33
2014,KW Richardson,2,0,0.0
2014,Karanveer Singh,1,0,0.0
2014,L Balaji,3,0,0.0
2014,LMP Simmons,299,57,19.06
2014,LR Shukla,38,3,7.89
2014,LRPL Taylor,62,6,9.68
2014,M Manhas,26,4,15.38
2014,M Morkel,4,0,0.0
2014,M Vijay,197,25,12.69
2014,M Vohra,244,43,17.62
2014,M de Lange,2,0,0.0
2014,MA Agarwal,93,15,16.13
2014,MA Starc,84,9,10.71
2014,MC Henriques,14,1,7.14
2014,MEK Hussey,187,24,12.83
2014,MG Johnson,51,7,13.73
2014,MK Pandey,359,46,12.81
2014,MK Tiwary,123,18,14.63
2014,MM Sharma,3,0,0.0
2014,MS Bisla,9,0,0.0
2014,MS Dhoni,258,42,16.28
2014,Mandeep Singh,28,2,7.14
2014,Mohammed Shami,8,0,0.0
2014,NJ Maddinson,14,3,21.43
2014,NV Ojha,170,31,18.24
2014,P Kumar,2,0,0.0
2014,PA Patel,191,31,16.23
2014,PP Chawla,20,5,25.0
2014,PP Ojha,8,0,0.0
2014,PV Tambe,9,0,0.0
2014,Q de Kock,132,23,17.42
2014,R Ashwin,48,4,8.33
2014,R Bhatia,55,7,12.73
2014,R Dhawan,75,9,12.0
2014,R Rampaul,13,1,7.69
2014,R Shukla,21,2,9.52
2014,R Tewatia,13,1,7.69
2014,R Vinay Kumar,7,0,0.0
2014,RA Jadeja,113,14,12.39
2014,RG Sharma,307,47,15.31
2014,RN ten Doeschate,33,7,21.21
2014,RR Rossouw,41,4,9.76
2014,RV Uthappa,485,92,18.97
2014,S Anirudha,5,0,0.0
2014,S Dhawan,332,56,16.87
2014,S Gopal,10,1,10.0
2014,S Kaul,2,0,0.0
2014,S Nadeem,20,0,0.0
2014,S Rana,66,8,12.12
2014,SA Yadav,123,21,17.07
2014,SE Marsh,54,10,18.52
2014,SK Raina,370,70,18.92
2014,SL Malinga,4,0,0.0
2014,SP Narine,15,0,0.0
2014,SPD Smith,115,17,14.78
2014,SR Watson,205,34,16.59
2014,STR Binny,122,9,7.38
2014,SV Samson,280,42,15.0
2014,Sandeep Sharma,5,0,0.0
2014,Shakib Al Hasan,160,29,18.12
2014,Shivam Sharma,3,1,33.33
2014,TG Southee,4,1,25.0
2014,UBT Chand,10,0,0.0
2014,UT Yadav,4,0,0.0
2014,V Kohli,301,39,12.96
2014,V Sehwag,334,74,22.16
2014,VH Zol,26,4,15.38
2014,VR Aaron,34,3,8.82
2014,VS Malik,2,0,0.0
2014,WD Parnell,2,0,0.0
2014,WP Saha,255,51,20.0
2014,Y Venugopal Rao,65,8,12.31
2014,YK Pathan,168,35,20.83
2014,YS Chahal,2,0,0.0
2014,YV Takawale,92,18,19.57
2014,Yuvraj Singh,288,50,17.36
2014,Z Khan,7,1,14.29
2015,A Ashish Reddy,46,8,17.39
2015,A Mishra,13,0,0.0
2015,A Nehra,7,0,0.0
2015,AB de Villiers,302,82,27.15
2015,AD Mathews,109,18,16.51
